State,State_UT_Code,Financial Year,Opening Balance,Funds Received from Government of India ,Funds Received as States' Share ,Other Receipts ,Total Funds Available ,Total Expenditure ,Net Unspent Balance Available,Extent of Funds Utilised against Total Funds Available
Andhra Pradesh,1,2015-16,14.95,395.4,449.27,-221.31,638.31,444.88,197.88,69.697
Arunachal Pradesh,2,2015-16,-0.13,379.68,31.05,0.28,410.88,319.72,112.84,77.813
Assam,3,2015-16,384.35,394.08,18.97,42.41,839.81,479.49,373.03,57.095
Bihar,4,2015-16,269.32,2697.89,1854,1225.69,6046.9,2216.39,3869.42,36.653
Chhattisgarh,5,2015-16,20.38,489.24,335.87,115.55,961.04,778.8,215.25,81.037
Goa,6,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,7,2015-16,11.88,502.2,288.22,3.92,806.22,646.74,170.8,80.219
Haryana,8,2015-16,8.34,358.42,58.58,0.57,425.91,333.93,88.53,78.404
Himachal Pradesh,9,2015-16,4.52,289.38,29.82,49.43,373.15,294.66,85.9,78.966
Jharkhand,10,2015-16,71.6,876.46,35,13.64,996.7,614.91,180.27,61.695
Karnataka,11,2015-16,37.07,140.8,0,101.36,279.23,270,9.63,96.694
Kerala,12,2015-16,11.14,151.07,0.07,33.68,195.96,205.09,4.17,104.659
Madhya Pradesh,13,2015-16,528.24,1122.01,724.36,85.02,2459.63,1808.76,662.58,73.538
Maharashtra,14,2015-16,118.78,583.38,175.19,20.35,897.7,658.95,243.66,73.404
Manipur,15,2015-16,10.21,252.95,4.38,2.38,269.92,298.33,5.74,110.525
Meghalaya,16,2015-16,11.95,137.68,0,4.61,154.24,134.24,21.87,87.033
Mizoram,17,2015-16,8.5,50.99,1.6,4.58,65.67,52.69,23.97,80.235
Nagaland,18,2015-16,30,34.24,0,-7.71,56.53,34.17,21.51,60.446
Odisha,19,2015-16,164.9,1496.4,922,-58.58,2524.72,1968.9,599.12,77.985
Punjab,20,2015-16,4.56,219.84,27.37,4.16,255.93,245.52,17.71,95.932
Rajasthan,21,2015-16,221.76,566.32,320.48,14.24,1122.8,795.87,345.99,70.883
Sikkim,22,2015-16,56.05,78.43,0.73,0.07,135.28,141.75,16.83,104.783
Tamil Nadu,23,2015-16,5.98,219.34,0.25,136.31,361.88,223.61,138.57,61.791
Telangana,24,2015-16,7.07,160.53,0,96.53,264.13,248.81,16.97,94.2
Tripura,25,2015-16,6.58,229.73,0,63.65,299.96,313.03,3.72,104.357
Uttar Pradesh,26,2015-16,11.05,1596.39,0,10.13,1617.57,1090.68,512.12,67.427
Uttarakhand,27,2015-16,4.72,402.04,32,59.31,498.07,450.3,75.79,90.409
West Bengal,28,2015-16,124.46,1395.27,642.84,1.09,2163.66,1245.87,543.78,57.582
A & N Islands,29,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,30,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Daman & Diu,32,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,33,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2015-16,159.42,288,0,30.29,477.71,307.27,149.54,64.321
Ladakh,35,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Puducherry,37,2015-16,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,1,2016-17,194.32,197.61,124.86,2.72,519.51,240.3,288.81,46.255
Arunachal Pradesh,2,2016-17,108.29,201.9,38.33,0.66,349.18,347.06,14.26,99.393
Assam,3,2016-17,371.48,437.82,65.02,56.52,930.84,311.36,579.09,33.449
Bihar,4,2016-17,3869.56,2900.59,1500,145.81,8415.96,3323.79,5423.61,39.494
Chhattisgarh,5,2016-17,216.57,441.91,272.77,34.7,965.95,432.92,491.41,44.818
Goa,6,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,7,2016-17,170.46,31.18,49.69,9.63,260.96,53.09,180.89,20.344
Haryana,8,2016-17,86.64,51.44,125.97,3.64,267.69,69.29,184.18,25.884
Himachal Pradesh,9,2016-17,85.14,309.75,34.44,27.56,456.89,321.32,139.45,70.328
Jharkhand,10,2016-17,180.22,627.01,1096.77,9.31,1913.31,892.31,957.52,46.637
Karnataka,11,2016-17,11.57,259.26,43.51,183.72,498.06,349.07,150.32,70.086
Kerala,12,2016-17,0.62,215.34,53.87,41.66,311.49,270.36,58.72,86.796
Madhya Pradesh,13,2016-17,662.92,1769.24,1219.81,62.75,3714.72,1675.87,2064.67,45.114
Maharashtra,14,2016-17,250.14,606,587.03,40.86,1484.03,684.78,855.01,46.143
Manipur,15,2016-17,3.15,243.42,36.1,3.39,286.06,252.14,45.42,88.142
Meghalaya,16,2016-17,18.14,119.68,17,1.99,156.81,179.65,4.73,114.565
Mizoram,17,2016-17,24.08,93.53,14.78,0.39,132.78,78.47,57.05,59.098
Nagaland,18,2016-17,21.06,0.14,0.44,8.9,30.54,21.86,9.49,71.578
