State_UT,State_UT_Code,Financial Year,Opening Balance,Funds Released,Interest Earned and Other Receipts,Total Available Funds,Total Expenditure,Unspent Balance
Andhra Pradesh,1,2015-16,143.652,234.165,1.725,379.542,302.034,77.508
Arunachal Pradesh,2,2015-16,8.695,38.711,0.301,47.707,36.92,10.786
Assam,3,2015-16,248.971,474.27,3.327,726.568,380.581,345.987
Bihar,4,2015-16,61.133,221.554,12.293,294.98,127.392,167.588
Chhattisgarh,5,2015-16,26.99,144.72,5.999,177.708,151.586,26.122
Goa,6,2015-16,0,1.05,0,1.05,0,1.05
Gujarat,7,2015-16,68.498,478.216,117.52,664.235,447.418,216.817
Haryana,8,2015-16,53.093,32.755,18.511,104.359,59.143,45.216
Himachal Pradesh,9,2015-16,55.631,4.368,17.548,77.546,54.595,22.952
Jharkhand,10,2015-16,114.128,97.317,2.006,213.452,206.344,7.108
Karnataka,11,2015-16,138.283,450.77,8.024,597.077,395.738,201.338
Kerala,12,2015-16,10.347,8.5,0.541,19.389,28.722,-9.333
Madhya Pradesh,13,2015-16,588.785,374.325,70.352,1033.461,574.381,459.081
Maharashtra,14,2015-16,90.817,567.452,36.37,694.638,516.227,178.411
Manipur,15,2015-16,5.625,44.188,5.878,55.691,27.945,27.746
Meghalaya,16,2015-16,55.571,35.652,2.646,93.869,52.691,41.178
Mizoram,17,2015-16,8.938,3.323,0.431,12.692,8.278,4.413
Nagaland,18,2015-16,0.027,10.832,0.276,11.134,10.988,0.147
Odisha,19,2015-16,190.246,571.498,5.39,767.133,525.85,241.284
Punjab,20,2015-16,5.59,38.7,0.211,44.502,59.55,-15.049
Rajasthan,21,2015-16,189.201,938.731,3.468,1131.399,464.362,667.037
Sikkim,22,2015-16,1.348,6.122,0.243,7.713,5.657,2.056
Tamil Nadu,23,2015-16,81.473,78.941,16.894,177.308,254.469,-77.161
Telangana,24,2015-16,147.685,128.387,3.956,280.028,168.781,111.247
Tripura,25,2015-16,27.414,38.891,0.4,66.705,52.974,13.731
Uttar Pradesh,26,2015-16,142.662,565.388,73.333,781.383,572.839,208.544
Uttarakhand,27,2015-16,7.64,49.369,0.453,57.461,45.388,12.074
